20120103_160000_000000,tradefeed,mktid,1211,OID,18.094999999999999,21500,1,TID,0,B2_HK
20120104_160000_000000,tradefeed,mktid,1211,OID,17.815000000000001,21500,2,TID,0,B2_HK
20120109_160000_000000,tradefeed,mktid,1211,OID,18.213999999999999,23000,1,TID,0,B2_HK
20120110_160000_000000,tradefeed,mktid,1211,OID,18.634,500,2,TID,0,B2_HK
20120111_160000_000000,tradefeed,mktid,1211,OID,19.433,22500,2,TID,0,B2_HK
20120112_160000_000000,tradefeed,mktid,1211,OID,20.172000000000001,4000,1,TID,0,B2_HK
20120113_160000_000000,tradefeed,mktid,941,OID,65.572000000000003,14000,1,TID,0,B2_HK
20120113_160000_000000,tradefeed,mktid,1211,OID,20.771000000000001,4000,2,TID,0,B2_HK
20120113_160000_000000,tradefeed,mktid,1,OID,46.729999999999997,16500,1,TID,0,B2_HK
20120116_160000_000000,tradefeed,mktid,941,OID,64.625,14000,2,TID,0,B2_HK
20120116_160000_000000,tradefeed,mktid,1211,OID,21.768999999999998,19000,1,TID,0,B2_HK
20120116_160000_000000,tradefeed,mktid,1,OID,46.194000000000003,16500,2,TID,0,B2_HK
20120117_160000_000000,tradefeed,mktid,2628,OID,19.623000000000001,25000,1,TID,0,B2_HK
20120117_160000_000000,tradefeed,mktid,1211,OID,23.068000000000001,1000,2,TID,0,B2_HK
20120117_160000_000000,tradefeed,mktid,700,OID,35.084000000000003,18100,1,TID,0,B2_HK
20120118_160000_000000,tradefeed,mktid,2628,OID,19.954000000000001,25000,2,TID,0,B2_HK
20120118_160000_000000,tradefeed,mktid,388,OID,115.476,7200,1,TID,0,B2_HK
20120118_160000_000000,tradefeed,mktid,1211,OID,22.818000000000001,18000,2,TID,0,B2_HK
20120118_160000_000000,tradefeed,mktid,700,OID,35.795999999999999,18100,2,TID,0,B2_HK
20120119_160000_000000,tradefeed,mktid,388,OID,117.545,3000,2,TID,0,B2_HK
20120119_160000_000000,tradefeed,mktid,2318,OID,28.48,19000,1,TID,0,B2_HK
20120120_160000_000000,tradefeed,mktid,388,OID,118.444,4200,2,TID,0,B2_HK
20120120_160000_000000,tradefeed,mktid,1211,OID,22.419,21500,1,TID,0,B2_HK
20120120_160000_000000,tradefeed,mktid,2318,OID,28.265000000000001,19000,2,TID,0,B2_HK
20120126_160000_000000,tradefeed,mktid,2628,OID,21.844999999999999,8000,1,TID,0,B2_HK
20120126_160000_000000,tradefeed,mktid,700,OID,36.171999999999997,17700,1,TID,0,B2_HK
20120127_160000_000000,tradefeed,mktid,2628,OID,21.655999999999999,8000,2,TID,0,B2_HK
20120127_160000_000000,tradefeed,mktid,1211,OID,23.716999999999999,21500,2,TID,0,B2_HK
20120127_160000_000000,tradefeed,mktid,700,OID,35.856000000000002,17700,2,TID,0,B2_HK
20120130_160000_000000,tradefeed,mktid,2628,OID,20.946999999999999,5000,1,TID,0,B2_HK
